,position,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
CONS MACUCO,"(-42.2533, -21.9813)",2.0,,,,,
CONS BOA VISTA DO GURUPI,"(array([-46.3002]), array([-1.77614]))",,,,,,
CONS TIMON,"(-42.8329, -5.09769)",22.0,,,,,
CONS ESTREITO,"(-47.4431, -6.56077)",9.0,,,,,
CONS TERESINA,"(-42.8034, -5.09194)",203.0,7.941,0.167,185.0,7.442,0.351
CONS NATIVIDADE,"(-47.7223, -11.7034)",2.0,,,,,
CONS ARRAIAS,"(-46.9359, -12.9287)",2.0,,,,,
CONS UIRAUNA,"(-38.4128, -6.51504)",6.0,,,,,
CONS PAU DOS FERROS,"(-38.2077, -6.10498)",107.0,,,,,
CONS ITU,"(-47.2927, -23.2544)",34.0,6.726,0.219,69.0,7.056,0.395
CONS PIRACICABA,"(-47.6476, -22.7338)",16.0,6.823,0.162,75.0,7.062,0.419
CONS CAMPINAS,"(-47.0659, -22.9053)",170.0,6.758,0.177,160.0,6.988,0.419
CONS SANTOS,"(-46.335, -23.9535)",1619.0,7.127,0.282,56.0,7.18,0.392
CONS PRAIA GRANDE,"(-46.4121, -24.0084)",1619.0,6.894,0.216,56.0,7.215,0.531
CONS ARUJA,"(-46.32, -23.3965)",1619.0,,,,,
CONS JACAREI,"(-45.9658, -23.2983)",170.0,6.537,0.142,66.0,6.672,0.332
CONS MOGI GUACU,"(-46.9428, -22.3675)",27.0,6.638,0.324,64.0,7.091,0.345
CONS CORDEIROPOLIS,"(-47.4519, -22.4778)",8.0,,,,,
CONS DORES DO RIO PRETO,"(-41.8405, -20.6931)",2.0,,,,,
CONS PASSOS,"(-46.609, -20.7193)",30.0,7.23,0.277,36.0,7.112,0.396
CONS CARUARU,"(-35.9699, -8.28455)",77.0,7.233,0.166,54.0,,
CONS ERVALIA,"(-42.6544, -20.8403)",6.0,,,,,
CONS BARREIRAS,"(-44.9968, -12.1439)",40.0,7.908,0.167,37.0,7.729,0.512
CONS CRISTOPOLIS,"(-44.4214, -12.2249)",40.0,,,,,
CONS TAUBATE,"(-45.5593, -23.0104)",62.0,6.695,0.263,39.0,6.899,0.47
CONS CRUZMALTINA,"(-51.4563, -24.0132)",3.0,,,,,
CONS SANTA RITA DO ARAGUAIA,"(-53.2012, -17.3269)",2.0,,,,,
CONS MINEIROS,"(-52.5537, -17.5654)",14.0,7.56,0.097,26.0,7.497,0.367
CONS ALTO TAQUARI,"(-53.2792, -17.8241)",2.0,,,,,
CONS ALTO ARAGUAIA,"(-53.2181, -17.3153)",67.0,,,,,
CONS TAQUARITINGA DO NORTE,"(-36.0423, -7.89446)",11.0,,,,,
CONS GUAIRA,"(-54.2573, -24.085)",10.0,,,,,
CONS MUNDO NOVO,"(-54.281, -23.9355)",4.0,,,,,
CONS MOSSORO,"(-37.3474, -5.18374)",62.0,7.675,0.11,66.0,7.238,0.354
CONS WANDERLANDIA,"(-47.9601, -6.85274)",1.0,,,,,
CONS AGUIARNOPOLIS,"(-47.4702, -6.55409)",4.0,,,,,
CONS MAUA DA SERRA,"(-51.2277, -23.8988)",3.0,,,,,
CONS SAO MIGUEL DO ARAGUAIA,"(-50.1634, -13.2731)",7.0,,,,,
CONS SAO LUIS DE MONTES BELOS,"(-50.3726, -16.5211)",7.0,,,,,
CONS PADRE BERNARDO,"(-48.2833, -15.1605)",7.0,,,,,
CONS NIQUELANDIA,"(-48.4599, -14.4662)",10.0,,,,,
CONS URUACU,"(-49.1396, -14.5238)",10.0,,,,,
CONS CURRAIS NOVOS,"(-36.5146, -6.25484)",7.0,,,,,
CONS DOURADOS,"(-54.812, -22.2231)",64.0,7.027,0.119,40.0,6.923,0.322
CONS PONTA PORA,"(-55.7203, -22.5296)",64.0,7.418,0.106,16.0,7.104,0.321
CONS SAO JOAO DOS PATOS,"(-43.7036, -6.4934)",153.0,,,,,
CONS MORROS,"(-44.0357, -2.85379)",6.0,,,,,
CONS CHAPADAO DO SUL,"(-52.6263, -18.788)",6.0,,,,,
CONS BANDEIRANTES,"(-54.3585, -19.9275)",6.0,,,,,
CONS PIO IX,"(-40.6083, -6.83002)",9.0,,,,,
CONS VARZEA BRANCA,"(-42.9692, -9.238)",9.0,,,,,
CONS PARAMBU,"(-40.6905, -6.20768)",23.0,,,,,
CONS SANTAREM,"(-54.6996, -2.43849)",70.0,7.283,0.189,48.0,7.513,0.375
CONS NOVO PROGRESSO,"(-55.3786, -7.14347)",70.0,,,,,
CONS POCOS DE CALDAS,"(-46.5692, -21.78)",9.0,7.363,0.146,47.0,7.201,0.289
CONS BAIA FORMOSA,"(-35.0033, -6.37161)",6.0,,,,,
CONS GARIBALDI,"(-51.5352, -29.259)",10.0,,,,,
CONS COIVARAS,"(-42.208, -5.09224)",1.0,,,,,
CONS PIRAPORA,"(-44.934, -17.3392)",15.0,,,,,
CONS CARLINDA,"(-55.8417, -9.94912)",4.0,,,,,
CONS NOVA SANTA HELENA,"(-55.1872, -10.8651)",4.0,,,,,
CONS JACAREZINHO,"(-49.9739, -23.1591)",10.0,,,,,
CONS MARECHAL CANDIDO RONDON,"(-54.0571, -24.557)",18.0,7.173,0.25,21.0,7.038,0.354
CONS PRIMAVERA DO LESTE,"(-54.2811, -15.544)",25.0,,,,,
CONS RONDONOPOLIS,"(-54.6372, -16.4673)",67.0,6.983,0.126,114.0,7.457,0.34
CONS ITAPERUNA,"(-41.8799, -21.1997)",19.0,8.155,0.123,24.0,7.223,0.399
CONS ARAGUAINA,"(-48.2044, -7.19238)",40.0,7.427,0.114,20.0,6.998,0.371
CONS NONOAI,"(-52.7756, -27.3689)",5.0,,,,,
CONS ITAPARICA,"(-38.68, -12.8932)",3.0,,,,,
CONS LAURO DE FREITAS,"(-38.321, -12.8978)",1.0,7.951,0.036,44.0,7.661,0.481
CONS COMODORO,"(-59.7848, -13.6614)",4.0,,,,,
CONS CACERES,"(-57.6818, -16.0764)",2.0,7.078,0.115,52.0,7.31,0.318
CONS FLORESTA AZUL,"(-39.6579, -14.8629)",2.0,,,,,
CONS VITORIA DA CONQUISTA,"(-40.8442, -14.8615)",20.0,8.303,0.043,40.0,7.825,0.351
CONS ITAPE,"(-39.4239, -14.8876)",38.0,,,,,
CONS TIRADENTES DO SUL,"(-54.0814, -27.4022)",2.0,,,,,
CONS COSTA RICA,"(-53.1287, -18.5432)",5.0,,,,,
CONS COXIM,"(-54.751, -18.5013)",5.0,7.474,0.101,24.0,7.167,0.349
CONS BOCAIUVA,"(-43.8104, -17.1135)",13.0,,,,,
CONS SENADOR MODESTINO GONCALVES,"(-43.2172, -17.9465)",13.0,,,,,
CONS RIOZINHO,"(-50.4488, -29.639)",1.0,,,,,
CONS VACARIA,"(-50.9418, -28.5079)",17.0,7.204,0.155,35.0,7.178,0.491
CONS CAMAQUA,"(-51.8043, -30.8489)",17.0,,,,,
CONS JAGUARAO,"(-53.377, -32.5604)",17.0,,,,,
CONS BAIXO GUANDU,"(-41.0109, -19.5213)",6.0,,,,,
CONS CABROBO,"(-39.3094, -8.50548)",9.0,,,,,
CONS ARUANA,"(-51.075, -14.9166)",4.0,,,,,
CONS ARAGUAPAZ,"(-50.6315, -15.0909)",4.0,,,,,
CONS VARZEA GRANDE,"(-56.1322, -15.6458)",2.0,6.768,0.164,84.0,7.21,0.401
CONS CAMPO VERDE,"(-55.1626, -15.545)",15.0,,,,,
CONS IBOTIRAMA,"(-43.2167, -12.1779)",4.0,,,,,
CONS ITAGIMIRIM,"(-39.6133, -16.0819)",5.0,,,,,
CONS SANTA CRUZ CABRALIA,"(-39.0295, -16.2825)",5.0,,,,,
CONS FORMOSA DO RIO PRETO,"(-45.193, -11.0328)",11.0,,,,,
CONS COCOS,"(-44.5352, -14.1814)",11.0,,,,,
CONS CRISTALANDIA DO PIAUI,"(-45.1893, -10.6443)",2.0,,,,,
CONS TIO HUGO,"(-52.5955, -28.5712)",3.0,,,,,
CONS PACARAIMA,"(-61.1477, 4.4799)",1.0,,,,,
CONS RORAINOPOLIS,"(-60.4389, 0.939956)",1.0,,,,,
CONS JUATUBA,"(-44.3451, -19.9448)",6.0,,,,,
CONS MARCELINO RAMOS,"(-51.9095, -27.4676)",4.0,,,,,
CONS BELA VISTA,"(-56.5263, -22.1073)",1.0,,,,,
CONS GUAPORE,"(-51.8895, -28.8399)",6.0,,,,,
CONS TIMBAUBA,"(-35.3119, -7.50484)",10.0,,,,,
CONS FERREIRA GOMES,"(-51.1795, 0.857256)",1.0,,,,,
CONS CARACARAI,"(-61.1304, 1.82766)",6.0,,,,,
CONS CAROEBE,"(-59.6959, 0.884203)",5.0,,,,,
CONS SANTA CRUZ DO SUL,"(-52.4343, -29.722)",47.0,7.156,0.131,44.0,7.218,0.411
CONS NOVA MUTUM,"(-56.0743, -13.8374)",19.0,,,,,
CONS DIVISA ALEGRE,"(-41.3463, -15.7221)",3.0,,,,,
CONS MARATAIZES,"(-40.8384, -21.0398)",26.0,,,,,
CONS LUIS CORREIA,"(-41.6641, -2.88438)",10.0,,,,,
CONS PORTO MURTINHO,"(-57.8836, -21.6981)",2.0,,,,,
CONS PAULO AFONSO,"(-38.2216, -9.3983)",17.0,7.76,0.0,1.0,,
CONS DELMIRO GOUVEIA,"(-37.9987, -9.38534)",1.0,8.09,0.11,28.0,8.095,0.377
CONS PROPRIA,"(-36.8442, -10.2138)",5.0,,,,,
CONS CRISTINAPOLIS,"(-37.7585, -11.4668)",5.0,,,,,
CONS CHUI,"(-53.4594, -33.6866)",43.0,,,,,
CONS PELOTAS,"(-52.3371, -31.7649)",8.0,7.135,0.174,56.0,7.18,0.377
CONS SAO JOAO DO ARRAIAL,"(-42.4459, -3.8186)",4.0,,,,,
CONS BARRETOS,"(-48.5698, -20.5531)",37.0,7.319,0.437,69.0,7.383,0.419
CONS PARAPUA,"(-50.7949, -21.7792)",6.0,,,,,
CONS BEBEDOURO,"(-48.4791, -20.9491)",20.0,6.984,0.16,36.0,7.054,0.438
CONS MATAO,"(-48.364, -21.6025)",37.0,6.584,0.481,65.0,7.156,0.391
CONS BILAC,"(-50.4746, -21.404)",28.0,,,,,
CONS CLEMENTINA,"(-50.4525, -21.5604)",5.0,,,,,
CONS CATANDUVA,"(-48.977, -21.1314)",6.0,6.933,0.14,47.0,7.106,0.43
CONS URUGUAIANA,"(-57.0853, -29.7614)",17.0,7.125,0.176,28.0,7.034,0.375
CONS JULIO DE CASTILHOS,"(-53.6772, -29.2299)",9.0,,,,,
CONS SANTANA DA BOA VISTA,"(-53.11, -30.8697)",3.0,,,,,
CONS RIO REAL,"(-37.9332, -11.4814)",7.0,,,,,
CONS MUCURI,"(-39.5565, -18.0754)",6.0,,,,,
CONS CAMPOS BELOS,"(-46.7681, -13.035)",6.0,,,,,
CONS PEREIRA BARRETO,"(-51.1123, -20.6368)",7.0,,,,,
CONS ILHA SOLTEIRA,"(-51.3426, -20.4326)",10.0,,,,,
CONS MIRASSOL,"(-49.5206, -20.8169)",2.0,6.78,0.088,32.0,7.102,0.356
CONS BOM JESUS,"(-44.359, -9.07124)",2.0,,,,,
CONS SANTA FILOMENA,"(-45.9116, -9.11228)",2.0,,,,,
CONS REDENCAO DO GURGUEIA,"(-44.5811, -9.47937)",2.0,,,,,
CONS RECIFE,"(-34.8771, -8.04666)",189.0,7.348,0.222,138.0,,
CONS NOVO LINO,"(-35.664, -8.94191)",3.0,,,,,
CONS AGUAS LINDAS DE GOIAS,"(-48.2816, -15.7617)",21.0,7.804,0.288,20.0,7.405,0.545
CONS NOVA FLORESTA,"(-36.2057, -6.45056)",2.0,,,,,
CONS MACHADO,"(-45.9219, -21.6778)",9.0,,,,,
CONS TOUROS,"(-35.4621, -5.20182)",6.0,,,,,
CONS GUARANTA DO NORTE,"(-54.9121, -9.96218)",11.0,,,,,
CONS ITIQUIRA,"(-54.1422, -17.2147)",43.0,,,,,
CONS PENAFORTE,"(-39.0707, -7.82163)",321.0,,,,,
CONS VIRGEM DA LAPA,"(-42.3431, -16.807)",3.0,,,,,
CONS CAPAO BONITO,"(-48.3482, -24.0113)",44.0,,,,,
CONS BARRO ALTO,"(-48.9086, -14.9658)",4.0,,,,,
CONS HUMBERTO DE CAMPOS,"(-43.4649, -2.59828)",6.0,,,,,
CONS IPAUMIRIM,"(-38.7179, -6.78265)",4.0,,,,,
CONS JERUMENHA,"(-43.5033, -7.09128)",2.0,,,,,
CONS TRES FRONTEIRAS,"(-50.8905, -20.2344)",2.0,,,,,
CONS AUGUSTO CORREA,"(-46.6147, -1.05109)",5.0,,,,,
CONS CARIRA,"(-37.7002, -10.3524)",4.0,,,,,
CONS PEDRO ALEXANDRE,"(-37.8932, -10.012)",7.0,,,,,
CONS PIRANHAS,"(-51.8235, -16.4258)",8.0,,,,,
CONS UMBURANAS,"(-41.3234, -10.7339)",4.0,,,,,
CONS OURO BRANCO,"(-37.3556, -9.15884)",1.0,,,,,
CONS BOA VISTA,"(-60.6753, 2.82384)",5.0,7.066,0.095,57.0,7.525,0.366
CONS CAMPO MOURAO,"(-52.378, -24.0463)",9.0,6.823,0.281,56.0,6.976,0.418
CONS GOIOERE,"(-53.0248, -24.1835)",24.0,,,,,
CONS AREIA BRANCA,"(-37.1252, -4.95254)",4.0,,,,,
CONS JANDUIS,"(-37.4048, -6.01474)",4.0,,,,,
CONS CORUMBA,"(-57.651, -19.0077)",14.0,7.736,0.088,40.0,7.553,0.277
CONS REMANSO,"(-42.0848, -9.61944)",7.0,,,,,
CONS IBITIARA,"(-42.2179, -12.6502)",9.0,,,,,
CONS EUSEBIO,"(-38.4559, -3.8925)",23.0,,,,,
CONS ARACATI,"(-37.7679, -4.55826)",13.0,,,,,
CONS QUARAI,"(-56.4483, -30.384)",8.0,,,,,
CONS JARAGUA,"(-49.3344, -15.7529)",14.0,,,,,
CONS ITABERAI,"(-49.806, -16.0206)",14.0,,,,,
CONS VIAMAO,"(-51.0194, -30.0819)",31.0,6.897,0.14,30.0,7.007,0.431
CONS CANTA,"(-60.6058, 2.60994)",6.0,,,,,
CONS GOIANA,"(-34.9959, -7.5606)",12.0,7.27,0.183,28.0,,
CONS BELO HORIZONTE,"(-43.9266, -19.9102)",287.0,7.375,0.13,175.0,7.058,0.386
CONS EXTREMA,"(-46.3178, -22.854)",287.0,,,,,
CONS CARAVELAS,"(-39.2597, -17.7268)",6.0,,,,,
CONS VILA RICA,"(-51.1186, -10.0137)",6.0,,,,,
CONS SERTANEJA,"(-50.8317, -23.0361)",4.0,,,,,
CONS FLORINIA,"(-50.6814, -22.868)",26.0,,,,,
CONS PEDRA AZUL,"(-41.2909, -16.0086)",4.0,,,,,
CONS ICEM,"(-49.1915, -20.3391)",2.0,,,,,
CONS BRUMADO,"(-41.6696, -14.2021)",20.0,7.933,0.243,30.0,7.949,0.406
CONS RIACHAO DAS NEVES,"(-44.9143, -11.7508)",9.0,,,,,
CONS BEBERIBE,"(-38.1271, -4.17741)",13.0,,,,,
CONS ITAQUIRAI,"(-54.187, -23.4779)",5.0,,,,,
CONS NAVIRAI,"(-54.1995, -23.0618)",5.0,,,,,
CONS JANDAIRA,"(-37.7853, -11.5616)",1.0,,,,,
CONS PARACATU,"(-46.8711, -17.2252)",15.0,7.829,0.171,34.0,7.493,0.368
CONS VARGEM,"(-46.4124, -22.887)",3.0,,,,,
CONS ANASTACIO,"(-55.8104, -20.4823)",7.0,,,,,
CONS JARDIM,"(-56.1489, -21.4799)",7.0,,,,,
CONS FORMOSO DO ARAGUAIA,"(-49.5316, -11.7976)",5.0,,,,,
CONS TAGUATINGA,"(-46.437, -12.4026)",5.0,,,,,
CONS JAU,"(-48.5592, -22.2936)",37.0,6.604,0.285,54.0,6.878,0.364
CONS SAO PEDRO,"(-47.9096, -22.5483)",24.0,,,,,
CONS PEDRO CANARIO,"(-39.9574, -18.3004)",6.0,,,,,
CONS VOTUPORANGA,"(-49.9781, -20.4237)",28.0,6.854,0.207,55.0,7.101,0.391
CONS ARARIPINA,"(-40.494, -7.57073)",35.0,7.94,0.148,36.0,,
CONS SALGUEIRO,"(-39.1247, -8.07373)",15.0,7.861,0.15,31.0,,
CONS MAFRA,"(-49.8086, -26.1159)",19.0,6.934,0.302,28.0,7.178,0.388
CONS CAPAO ALTO,"(-50.5098, -27.9389)",19.0,,,,,
CONS RIO NEGRO,"(-49.7982, -26.095)",14.0,,,,,
CONS TARUMIRIM,"(-42.0097, -19.2835)",6.0,,,,,
CONS IPATINGA,"(-42.5476, -19.4703)",6.0,7.636,0.119,52.0,7.06,0.385
CONS SONORA,"(-54.7551, -17.5698)",4.0,,,,,
CONS IUNA,"(-41.5334, -20.3531)",7.0,,,,,
CONS CACHOEIRA DOS INDIOS,"(-38.676, -6.91353)",5.0,,,,,
CONS VALPARAISO DE GOIAS,"(-47.9757, -16.0651)",28.0,7.623,0.26,36.0,7.26,0.456
CONS BONFIM,"(-59.8333, 3.36161)",5.0,,,,,
CONS ILHEUS,"(-39.046, -14.793)",38.0,8.154,0.122,47.0,8.077,0.449
CONS AGUAS DA PRATA,"(-46.7176, -21.9319)",5.0,,,,,
CONS PICOS,"(-41.467, -7.07721)",36.0,7.656,0.165,36.0,7.354,0.305
CONS ACAUA,"(-41.0831, -8.21954)",36.0,,,,,
CONS BATATAIS,"(-47.5921, -20.8929)",16.0,,,,,
CONS COMENDADOR LEVY GASPARIAN,"(-43.214, -22.0404)",3.0,,,,,
CONS FOZ DO IGUACU,"(-54.5827, -25.5427)",59.0,7.14,0.221,76.0,7.036,0.38
CONS PARANAGUA,"(-48.5225, -25.5161)",59.0,7.095,0.151,37.0,7.031,0.467
CONS MATA GRANDE,"(-37.7323, -9.11824)",5.0,,,,,
CONS XAMBIOA,"(-48.532, -6.4141)",3.0,,,,,
CONS VARGEM GRANDE DO SUL,"(-46.8913, -21.8322)",11.0,,,,,
CONS SAO CARLOS,"(-47.886, -22.0174)",11.0,6.922,0.158,105.0,6.996,0.385
CONS QUELUZ,"(-44.7781, -22.5312)",5.0,,,,,
CONS NOVA LONDRINA,"(-52.9868, -22.7639)",7.0,,,,,
CONS MOCOCA,"(-47.0024, -21.4647)",24.0,7.034,0.153,43.0,7.039,0.389
CONS VIRADOURO,"(-48.293, -20.8734)",6.0,,,,,
CONS AFRANIO,"(-41.0095, -8.51136)",5.0,,,,,
CONS NOVA LIMA,"(-43.8509, -19.9758)",20.0,7.656,0.095,21.0,7.65,0.0
CONS SANTO ANTONIO DO DESCOBERTO,"(-48.2578, -15.9412)",10.0,,,,,
CONS ATALAIA,"(-36.0086, -9.5119)",8.0,,,,,
CONS MARECHAL DEODORO,"(-35.8967, -9.70971)",8.0,,,,,
CONS MATARACA,"(-35.0531, -6.59673)",1.0,,,,,
CONS CAMPINA GRANDE DO SUL,"(-49.0551, -25.3044)",14.0,,,,,
CONS OUROESTE,"(-50.3768, -20.0061)",5.0,,,,,
CONS CRUZEIRO DO OESTE,"(-53.0774, -23.7799)",9.0,,,,,
CONS ARAGUATINS,"(-48.1232, -5.64659)",4.0,,,,,
CONS MARTINOPOLIS,"(-51.1709, -22.1462)",8.0,,,,,
CONS PANORAMA,"(-51.8562, -21.354)",5.0,,,,,
CONS GARUVA,"(-48.852, -26.0292)",3.0,,,,,
CONS PASSO DE TORRES,"(-49.722, -29.3099)",3.0,,,,,
CONS COTIA,"(-46.919, -23.6022)",42.0,6.78,0.264,52.0,7.167,0.396
CONS MOGI MIRIM,"(-46.9532, -22.4332)",24.0,6.681,0.337,53.0,7.028,0.447
CONS TORRES,"(-49.7333, -29.3334)",16.0,6.874,0.275,20.0,6.992,0.436
CONS ARAGUARI,"(-48.1934, -18.6456)",33.0,7.488,0.121,75.0,7.211,0.381
CONS SERTAOZINHO,"(-47.9875, -21.1316)",26.0,6.916,0.177,55.0,7.226,0.332
CONS SENGES,"(-49.4616, -24.1129)",3.0,,,,,
CONS RIO BONITO,"(-42.6276, -22.7181)",15.0,7.615,0.229,24.0,6.978,0.636
CONS GUARANI DE GOIAS,"(-46.4868, -13.9421)",2.0,,,,,
CONS RIO CLARO,"(-47.5546, -22.3984)",44.0,6.685,0.199,59.0,7.062,0.381
CONS PRESIDENTE EPITACIO,"(-52.1111, -21.7651)",13.0,,,,,
CONS ITAPIRA,"(-46.8224, -22.4357)",16.0,6.654,0.325,44.0,7.086,0.387
CONS IGARAPAVA,"(-47.7466, -20.0407)",10.0,,,,,
CONS CHARQUEADA,"(-47.7755, -22.5096)",3.0,,,,,
CONS CASTILHO,"(-51.4884, -20.8689)",6.0,,,,,
CONS CRISTAIS PAULISTA,"(-47.4209, -20.4036)",4.0,,,,,
CONS ITIRAPINA,"(-47.8166, -22.2562)",5.0,,,,,
CONS RUBINEIA,"(-51.007, -20.1759)",2.0,,,,,
