,position,refino,distribuicao,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
OIAPOQUE,"(-51.8331, 3.84074)",,,6.0,,,,,
MARCO,"(-40.1582, -3.1285)",,,7.0,,,,,
UMIRIM,"(-39.3465, -3.67654)",,,4.0,,,,,
SOBRAL,"(-40.3482, -3.68913)",,,40.0,8.132,0.188,56.0,,
CRUZ,"(-40.176, -2.91813)",,,12.0,,,,,
CHAVAL,"(-41.2435, -3.03571)",,,2.0,,,,,
PATOS,"(-37.2747, -7.01743)",,,26.0,7.349,0.186,30.0,7.368,0.442
SERRA NEGRA DO NORTE,"(-37.3996, -6.66031)",,,3.0,,,,,
JACINTO,"(-40.295, -16.1428)",,,2.0,,,,,
ARACUAI,"(-42.0637, -16.8523)",,,8.0,,,,,
SALINAS,"(-42.2964, -16.1753)",,,10.0,,,,,
SIMAO DIAS,"(-37.8097, -10.7387)",,,4.0,,,,,
SAO MATEUS,"(-39.8579, -18.7214)",,,29.0,7.666,0.166,29.0,6.85,0.353
ABARE,"(-39.1162, -8.72073)",,,8.0,,,,,
BELEM DO SAO FRANCISCO,"(-38.9623, -8.75046)",,,3.0,,,,,
SAO SEBASTIAO DO PASSE,"(-38.4905, -12.5123)",,,9.0,,,,,
ENCRUZILHADA,"(-40.9124, -15.5302)",,,8.0,,,,,
PETROLINA,"(-40.5027, -9.38866)",,,73.0,7.909,0.239,49.0,7.621,0.406
NAVEGANTES,"(-48.6546, -26.8943)",,,18.0,,,,,
ADRIANOPOLIS,"(-48.9922, -24.6606)",,,2.0,,,,,
RIBEIRA,"(-49.0044, -24.6517)",,,1.0,,,,,
BARRA DO TURVO,"(-48.5013, -24.759)",,,4.0,,,,,
ITARARE,"(-49.3352, -24.1085)",,,8.0,,,,,
ECOPORANGA,"(-40.836, -18.3702)",,,6.0,,,,,
GRANJA,"(-40.8372, -3.12788)",,,11.0,,,,,
JACOBINA,"(-40.5117, -11.1812)",,,21.0,7.996,0.15,30.0,7.865,0.609
SALITRE,"(-40.45, -7.28398)",,,7.0,,,,,
MARCOLANDIA,"(-40.6602, -7.44169)",,,4.0,,,,,
CACHOEIRA DOURADA,"(-49.5039, -18.5161)",,,3.0,,,,,
TEOFILO OTONI,"(-41.5087, -17.8595)",,,33.0,7.512,0.119,52.0,7.145,0.42
SERRA DOS AIMORES,"(-40.2453, -17.7872)",,,2.0,,,,,
VIANOPOLIS,"(-48.5159, -16.7405)",,,5.0,,,,,
MORRINHOS,"(-40.1233, -3.23426)",,,8.0,7.232,0.163,41.0,6.954,0.394
IPAMERI,"(-48.1581, -17.7215)",,,13.0,,,,,
ITAPIPOCA,"(-39.5836, -3.49933)",,,26.0,7.975,0.157,24.0,,
SAO GONCALO DO AMARANTE,"(-38.9726, -3.60515)",,,16.0,,,,,
BATAGUASSU,"(-52.4221, -21.7159)",,,4.0,,,,,
PRESIDENTE VENCESLAU,"(-51.8447, -21.8732)",,,16.0,6.938,0.292,13.0,7.351,0.416
TRES LAGOAS,"(-51.7007, -20.7849)",,,27.0,7.379,0.177,57.0,7.19,0.329
NOVA SERRANA,"(-44.9847, -19.8713)",,,21.0,,,,,
LEOPOLDINA,"(-42.6421, -21.5296)",,,18.0,7.729,0.105,28.0,7.081,0.322
GUAJARA-MIRIM,"(-65.3296, -10.7889)",,,5.0,,,,,
IRAI,"(-53.2543, -27.1951)",,,3.0,,,,,
SANT'ANA DO LIVRAMENTO,"(-55.5392, -30.8773)",,,,,,,,
MARAVILHA,"(-53.1737, -26.7665)",,,3.0,,,,,
ITAPIRAPUA,"(-50.6094, -15.8205)",,,5.0,,,,,
PIRIPIRI,"(-41.7716, -4.27157)",,,20.0,7.964,0.181,20.0,7.602,0.377
PEDRO II,"(-41.4482, -4.42585)",,,8.0,,,,,
PARAISO,"(-53.6716, -26.62)",,,2.0,,,,,
FLORIANOPOLIS,"(-48.5477, -27.5945)",,,93.0,7.236,0.227,166.0,7.207,0.46
PALESTINA DO PARA,"(-48.3181, -5.74027)",,,2.0,,,,,
JI-PARANA,"(-61.9322, -10.8777)",,,42.0,7.598,0.191,56.0,7.751,0.428
COSTA MARQUES,"(-64.228, -12.4367)",,,5.0,,,,,
IPIRANGA DO NORTE,"(-56.1531, -12.2408)",,,3.0,,,,,
SORRISO,"(-55.7211, -12.5425)",,,24.0,7.434,0.207,39.0,7.614,0.354
SANTA RITA DO TRIVELATO,"(-55.2706, -13.8146)",,,1.0,,,,,
BERILO,"(-42.4606, -16.9567)",,,5.0,,,,,
IPE,"(-51.2859, -28.8171)",,,4.0,,,,,
MACUCO,"(-42.2533, -21.9813)",,,2.0,,,,,
BOA VISTA DO GURUPI,"(-46.3002, -1.77614)",,,,,,,,
TIMON,"(-42.8329, -5.09769)",,,22.0,,,,,
ESTREITO,"(-47.4431, -6.56077)",,,9.0,,,,,
NATIVIDADE,"(-47.7223, -11.7034)",,,2.0,,,,,
ARRAIAS,"(-46.9359, -12.9287)",,,2.0,,,,,
UIRAUNA,"(-38.4128, -6.51504)",,,6.0,,,,,
PAU DOS FERROS,"(-38.2077, -6.10498)",,,9.0,,,,,
ITU,"(-47.2927, -23.2544)",,,34.0,6.726,0.219,69.0,7.056,0.395
PIRACICABA,"(-47.6476, -22.7338)",,,86.0,6.823,0.162,75.0,7.062,0.419
CAMPINAS,"(-47.0659, -22.9053)",,,170.0,6.758,0.177,160.0,6.988,0.419
PRAIA GRANDE,"(-46.4121, -24.0084)",,,45.0,6.894,0.216,56.0,7.215,0.531
JACAREI,"(-45.9658, -23.2983)",,,49.0,6.537,0.142,66.0,6.672,0.332
MOGI GUACU,"(-46.9428, -22.3675)",,,27.0,6.638,0.324,64.0,7.091,0.345
CORDEIROPOLIS,"(-47.4519, -22.4778)",,,8.0,,,,,
DORES DO RIO PRETO,"(-41.8405, -20.6931)",,,2.0,,,,,
CARUARU,"(-35.9699, -8.28455)",,,77.0,7.233,0.166,54.0,,
ERVALIA,"(-42.6544, -20.8403)",,,6.0,,,,,
CRISTOPOLIS,"(-44.4214, -12.2249)",,,6.0,,,,,
TAUBATE,"(-45.5593, -23.0104)",,,62.0,6.695,0.263,39.0,6.899,0.47
CRUZMALTINA,"(-51.4563, -24.0132)",,,1.0,,,,,
SANTA RITA DO ARAGUAIA,"(-53.2012, -17.3269)",,,2.0,,,,,
MINEIROS,"(-52.5537, -17.5654)",,,14.0,7.56,0.097,26.0,7.497,0.367
ALTO ARAGUAIA,"(-53.2181, -17.3153)",,,2.0,,,,,
TAQUARITINGA DO NORTE,"(-36.0423, -7.89446)",,,11.0,,,,,
GUAIRA,"(-54.2573, -24.085)",,,10.0,,,,,
MUNDO NOVO,"(-54.281, -23.9355)",,,5.0,,,,,
WANDERLANDIA,"(-47.9601, -6.85274)",,,4.0,,,,,
AGUIARNOPOLIS,"(-47.4702, -6.55409)",,,1.0,,,,,
MAUA DA SERRA,"(-51.2277, -23.8988)",,,3.0,,,,,
SAO MIGUEL DO ARAGUAIA,"(-50.1634, -13.2731)",,,7.0,,,,,
SAO LUIS DE MONTES BELOS,"(-50.3726, -16.5211)",,,12.0,,,,,
PADRE BERNARDO,"(-48.2833, -15.1605)",,,7.0,,,,,
URUACU,"(-49.1396, -14.5238)",,,11.0,,,,,
CURRAIS NOVOS,"(-36.5146, -6.25484)",,,7.0,,,,,
DOURADOS,"(-54.812, -22.2231)",,,64.0,7.027,0.119,40.0,6.923,0.322
PONTA PORA,"(-55.7203, -22.5296)",,,14.0,7.418,0.106,16.0,7.104,0.321
SAO JOAO DOS PATOS,"(-43.7036, -6.4934)",,,4.0,,,,,
MORROS,"(-44.0357, -2.85379)",,,3.0,,,,,
CHAPADAO DO SUL,"(-52.6263, -18.788)",,,6.0,,,,,
BANDEIRANTES,"(-54.3585, -19.9275)",,,2.0,,,,,
PIO IX,"(-40.6083, -6.83002)",,,9.0,,,,,
VARZEA BRANCA,"(-42.9692, -9.238)",,,2.0,,,,,
PARAMBU,"(-40.6905, -6.20768)",,,10.0,,,,,
NOVO PROGRESSO,"(-55.3786, -7.14347)",,,21.0,,,,,
POCOS DE CALDAS,"(-46.5692, -21.78)",,,32.0,7.363,0.146,47.0,7.201,0.289
BAIA FORMOSA,"(-35.0033, -6.37161)",,,1.0,,,,,
GARIBALDI,"(-51.5352, -29.259)",,,10.0,,,,,
COIVARAS,"(-42.208, -5.09224)",,,1.0,,,,,
PIRAPORA,"(-44.934, -17.3392)",,,15.0,,,,,
CARLINDA,"(-55.8417, -9.94912)",,,4.0,,,,,
NOVA SANTA HELENA,"(-55.1872, -10.8651)",,,2.0,,,,,
JACAREZINHO,"(-49.9739, -23.1591)",,,10.0,,,,,
MARECHAL CANDIDO RONDON,"(-54.0571, -24.557)",,,18.0,7.173,0.25,21.0,7.038,0.354
PRIMAVERA DO LESTE,"(-54.2811, -15.544)",,,25.0,,,,,
ITAPERUNA,"(-41.8799, -21.1997)",,,19.0,8.155,0.123,24.0,7.223,0.399
NONOAI,"(-52.7756, -27.3689)",,,5.0,,,,,
LAURO DE FREITAS,"(-38.321, -12.8978)",,,33.0,7.951,0.036,44.0,7.661,0.481
COMODORO,"(-59.7848, -13.6614)",,,4.0,,,,,
CACERES,"(-57.6818, -16.0764)",,,17.0,7.078,0.115,52.0,7.31,0.318
FLORESTA AZUL,"(-39.6579, -14.8629)",,,2.0,,,,,
VITORIA DA CONQUISTA,"(-40.8442, -14.8615)",,,61.0,8.303,0.043,40.0,7.825,0.351
ITAPE,"(-39.4239, -14.8876)",,,3.0,,,,,
TIRADENTES DO SUL,"(-54.0814, -27.4022)",,,2.0,,,,,
COSTA RICA,"(-53.1287, -18.5432)",,,5.0,,,,,
COXIM,"(-54.751, -18.5013)",,,11.0,7.474,0.101,24.0,7.167,0.349
BOCAIUVA,"(-43.8104, -17.1135)",,,13.0,,,,,
SENADOR MODESTINO GONCALVES,"(-43.2172, -17.9465)",,,1.0,,,,,
RIOZINHO,"(-50.4488, -29.639)",,,1.0,,,,,
VACARIA,"(-50.9418, -28.5079)",,,17.0,7.204,0.155,35.0,7.178,0.491
CAMAQUA,"(-51.8043, -30.8489)",,,17.0,,,,,
JAGUARAO,"(-53.377, -32.5604)",,,8.0,,,,,
BAIXO GUANDU,"(-41.0109, -19.5213)",,,6.0,,,,,
CABROBO,"(-39.3094, -8.50548)",,,9.0,,,,,
ARUANA,"(-51.075, -14.9166)",,,4.0,,,,,
ARAGUAPAZ,"(-50.6315, -15.0909)",,,4.0,,,,,
CAMPO VERDE,"(-55.1626, -15.545)",,,15.0,,,,,
IBOTIRAMA,"(-43.2167, -12.1779)",,,4.0,,,,,
ITAGIMIRIM,"(-39.6133, -16.0819)",,,5.0,,,,,
SANTA CRUZ CABRALIA,"(-39.0295, -16.2825)",,,6.0,,,,,
FORMOSA DO RIO PRETO,"(-45.193, -11.0328)",,,11.0,,,,,
COCOS,"(-44.5352, -14.1814)",,,4.0,,,,,
CRISTALANDIA DO PIAUI,"(-45.1893, -10.6443)",,,2.0,,,,,
TIO HUGO,"(-52.5955, -28.5712)",,,3.0,,,,,
PACARAIMA,"(-61.1477, 4.4799)",,,1.0,,,,,
RORAINOPOLIS,"(-60.4389, 0.939956)",,,10.0,,,,,
JUATUBA,"(-44.3451, -19.9448)",,,6.0,,,,,
MARCELINO RAMOS,"(-51.9095, -27.4676)",,,4.0,,,,,
BELA VISTA,"(-56.5263, -22.1073)",,,5.0,,,,,
GUAPORE,"(-51.8895, -28.8399)",,,6.0,,,,,
TIMBAUBA,"(-35.3119, -7.50484)",,,10.0,,,,,
FERREIRA GOMES,"(-51.1795, 0.857256)",,,1.0,,,,,
CAROEBE,"(-59.6959, 0.884203)",,,5.0,,,,,
SANTA CRUZ DO SUL,"(-52.4343, -29.722)",,,47.0,7.156,0.131,44.0,7.218,0.411
NOVA MUTUM,"(-56.0743, -13.8374)",,,19.0,,,,,
DIVISA ALEGRE,"(-41.3463, -15.7221)",,,3.0,,,,,
MARATAIZES,"(-40.8384, -21.0398)",,,8.0,,,,,
LUIS CORREIA,"(-41.6641, -2.88438)",,,10.0,,,,,
PORTO MURTINHO,"(-57.8836, -21.6981)",,,2.0,,,,,
PAULO AFONSO,"(-38.2216, -9.3983)",,,17.0,7.76,0.0,1.0,,
DELMIRO GOUVEIA,"(-37.9987, -9.38534)",,,14.0,8.09,0.11,28.0,8.095,0.377
PROPRIA,"(-36.8442, -10.2138)",,,5.0,,,,,
CRISTINAPOLIS,"(-37.7585, -11.4668)",,,1.0,,,,,
CHUI,"(-53.4594, -33.6866)",,,6.0,,,,,
PELOTAS,"(-52.3371, -31.7649)",,,85.0,7.135,0.174,56.0,7.18,0.377
SAO JOAO DO ARRAIAL,"(-42.4459, -3.8186)",,,4.0,,,,,
PARAPUA,"(-50.7949, -21.7792)",,,6.0,,,,,
BEBEDOURO,"(-48.4791, -20.9491)",,,20.0,6.984,0.16,36.0,7.054,0.438
MATAO,"(-48.364, -21.6025)",,,21.0,6.584,0.481,65.0,7.156,0.391
BILAC,"(-50.4746, -21.404)",,,3.0,,,,,
CLEMENTINA,"(-50.4525, -21.5604)",,,3.0,,,,,
CATANDUVA,"(-48.977, -21.1314)",,,36.0,6.933,0.14,47.0,7.106,0.43
URUGUAIANA,"(-57.0853, -29.7614)",,,17.0,7.125,0.176,28.0,7.034,0.375
JULIO DE CASTILHOS,"(-53.6772, -29.2299)",,,9.0,,,,,
SANTANA DA BOA VISTA,"(-53.11, -30.8697)",,,3.0,,,,,
RIO REAL,"(-37.9332, -11.4814)",,,7.0,,,,,
MUCURI,"(-39.5565, -18.0754)",,,8.0,,,,,
CAMPOS BELOS,"(-46.7681, -13.035)",,,6.0,,,,,
PEREIRA BARRETO,"(-51.1123, -20.6368)",,,7.0,,,,,
ILHA SOLTEIRA,"(-51.3426, -20.4326)",,,10.0,,,,,
MIRASSOL,"(-49.5206, -20.8169)",,,22.0,6.78,0.088,32.0,7.102,0.356
BOM JESUS,"(-44.359, -9.07124)",,,2.0,,,,,
SANTA FILOMENA,"(-45.9116, -9.11228)",,,5.0,,,,,
REDENCAO DO GURGUEIA,"(-44.5811, -9.47937)",,,3.0,,,,,
NOVO LINO,"(-35.664, -8.94191)",,,3.0,,,,,
AGUAS LINDAS DE GOIAS,"(-48.2816, -15.7617)",,,21.0,7.804,0.288,20.0,7.405,0.545
NOVA FLORESTA,"(-36.2057, -6.45056)",,,2.0,,,,,
MACHADO,"(-45.9219, -21.6778)",,,9.0,,,,,
TOUROS,"(-35.4621, -5.20182)",,,6.0,,,,,
GUARANTA DO NORTE,"(-54.9121, -9.96218)",,,11.0,,,,,
ITIQUIRA,"(-54.1422, -17.2147)",,,5.0,,,,,
PENAFORTE,"(-39.0707, -7.82163)",,,3.0,,,,,
VIRGEM DA LAPA,"(-42.3431, -16.807)",,,3.0,,,,,
CAPAO BONITO,"(-48.3482, -24.0113)",,,13.0,,,,,
HUMBERTO DE CAMPOS,"(-43.4649, -2.59828)",,,6.0,,,,,
IPAUMIRIM,"(-38.7179, -6.78265)",,,4.0,,,,,
JERUMENHA,"(-43.5033, -7.09128)",,,2.0,,,,,
TRES FRONTEIRAS,"(-50.8905, -20.2344)",,,2.0,,,,,
AUGUSTO CORREA,"(-46.6147, -1.05109)",,,5.0,,,,,
CARIRA,"(-37.7002, -10.3524)",,,4.0,,,,,
PEDRO ALEXANDRE,"(-37.8932, -10.012)",,,4.0,,,,,
PIRANHAS,"(-51.8235, -16.4258)",,,8.0,,,,,
UMBURANAS,"(-41.3234, -10.7339)",,,4.0,,,,,
OURO BRANCO,"(-37.3556, -9.15884)",,,1.0,,,,,
CAMPO MOURAO,"(-52.378, -24.0463)",,,24.0,6.823,0.281,56.0,6.976,0.418
GOIOERE,"(-53.0248, -24.1835)",,,12.0,,,,,
AREIA BRANCA,"(-37.1252, -4.95254)",,,4.0,,,,,
JANDUIS,"(-37.4048, -6.01474)",,,1.0,,,,,
CORUMBA,"(-57.651, -19.0077)",,,14.0,7.736,0.088,40.0,7.553,0.277
REMANSO,"(-42.0848, -9.61944)",,,7.0,,,,,
IBITIARA,"(-42.2179, -12.6502)",,,9.0,,,,,
EUSEBIO,"(-38.4559, -3.8925)",,,23.0,,,,,
ARACATI,"(-37.7679, -4.55826)",,,13.0,,,,,
QUARAI,"(-56.4483, -30.384)",,,8.0,,,,,
JARAGUA,"(-49.3344, -15.7529)",,,14.0,,,,,
ITABERAI,"(-49.806, -16.0206)",,,10.0,,,,,
VIAMAO,"(-51.0194, -30.0819)",,,31.0,6.897,0.14,30.0,7.007,0.431
CANTA,"(-60.6058, 2.60994)",,,6.0,,,,,
GOIANA,"(-34.9959, -7.5606)",,,12.0,7.27,0.183,28.0,,
BELO HORIZONTE,"(-43.9266, -19.9102)",,,287.0,7.375,0.13,175.0,7.058,0.386
EXTREMA,"(-46.3178, -22.854)",,,10.0,,,,,
CARAVELAS,"(-39.2597, -17.7268)",,,6.0,,,,,
VILA RICA,"(-51.1186, -10.0137)",,,6.0,,,,,
SERTANEJA,"(-50.8317, -23.0361)",,,4.0,,,,,
FLORINIA,"(-50.6814, -22.868)",,,1.0,,,,,
PEDRA AZUL,"(-41.2909, -16.0086)",,,4.0,,,,,
ICEM,"(-49.1915, -20.3391)",,,2.0,,,,,
BRUMADO,"(-41.6696, -14.2021)",,,20.0,7.933,0.243,30.0,7.949,0.406
BEBERIBE,"(-38.1271, -4.17741)",,,13.0,,,,,
ITAQUIRAI,"(-54.187, -23.4779)",,,5.0,,,,,
NAVIRAI,"(-54.1995, -23.0618)",,,14.0,,,,,
JANDAIRA,"(-37.7853, -11.5616)",,,1.0,,,,,
PARACATU,"(-46.8711, -17.2252)",,,15.0,7.829,0.171,34.0,7.493,0.368
VARGEM,"(-46.4124, -22.887)",,,3.0,,,,,
JARDIM,"(-56.1489, -21.4799)",,,6.0,,,,,
FORMOSO DO ARAGUAIA,"(-49.5316, -11.7976)",,,5.0,,,,,
TAGUATINGA,"(-46.437, -12.4026)",,,4.0,,,,,
JAU,"(-48.5592, -22.2936)",,,37.0,6.604,0.285,54.0,6.878,0.364
SAO PEDRO,"(-47.9096, -22.5483)",,,12.0,,,,,
PEDRO CANARIO,"(-39.9574, -18.3004)",,,6.0,,,,,
VOTUPORANGA,"(-49.9781, -20.4237)",,,28.0,6.854,0.207,55.0,7.101,0.391
ARARIPINA,"(-40.494, -7.57073)",,,35.0,7.94,0.148,36.0,,
SALGUEIRO,"(-39.1247, -8.07373)",,,15.0,7.861,0.15,31.0,,
MAFRA,"(-49.8086, -26.1159)",,,19.0,6.934,0.302,28.0,7.178,0.388
CAPAO ALTO,"(-50.5098, -27.9389)",,,2.0,,,,,
RIO NEGRO,"(-49.7982, -26.095)",,,2.0,,,,,
TARUMIRIM,"(-42.0097, -19.2835)",,,6.0,,,,,
IPATINGA,"(-42.5476, -19.4703)",,,43.0,7.636,0.119,52.0,7.06,0.385
SONORA,"(-54.7551, -17.5698)",,,4.0,,,,,
IUNA,"(-41.5334, -20.3531)",,,7.0,,,,,
CACHOEIRA DOS INDIOS,"(-38.676, -6.91353)",,,5.0,,,,,
VALPARAISO DE GOIAS,"(-47.9757, -16.0651)",,,28.0,7.623,0.26,36.0,7.26,0.456
BONFIM,"(-59.8333, 3.36161)",,,5.0,,,,,
ILHEUS,"(-39.046, -14.793)",,,38.0,8.154,0.122,47.0,8.077,0.449
AGUAS DA PRATA,"(-46.7176, -21.9319)",,,5.0,,,,,
PICOS,"(-41.467, -7.07721)",,,36.0,7.656,0.165,36.0,7.354,0.305
ACAUA,"(-41.0831, -8.21954)",,,1.0,,,,,
BATATAIS,"(-47.5921, -20.8929)",,,16.0,,,,,
COMENDADOR LEVY GASPARIAN,"(-43.214, -22.0404)",,,3.0,,,,,
FOZ DO IGUACU,"(-54.5827, -25.5427)",,,59.0,7.14,0.221,76.0,7.036,0.38
MATA GRANDE,"(-37.7323, -9.11824)",,,5.0,,,,,
XAMBIOA,"(-48.532, -6.4141)",,,3.0,,,,,
VARGEM GRANDE DO SUL,"(-46.8913, -21.8322)",,,11.0,,,,,
SAO CARLOS,"(-47.886, -22.0174)",,,61.0,6.922,0.158,105.0,6.996,0.385
QUELUZ,"(-44.7781, -22.5312)",,,5.0,,,,,
NOVA LONDRINA,"(-52.9868, -22.7639)",,,7.0,,,,,
MOCOCA,"(-47.0024, -21.4647)",,,24.0,7.034,0.153,43.0,7.039,0.389
VIRADOURO,"(-48.293, -20.8734)",,,6.0,,,,,
AFRANIO,"(-41.0095, -8.51136)",,,5.0,,,,,
NOVA LIMA,"(-43.8509, -19.9758)",,,20.0,7.656,0.095,21.0,7.65,0.0
SANTO ANTONIO DO DESCOBERTO,"(-48.2578, -15.9412)",,,10.0,,,,,
ATALAIA,"(-36.0086, -9.5119)",,,8.0,,,,,
MATARACA,"(-35.0531, -6.59673)",,,1.0,,,,,
CAMPINA GRANDE DO SUL,"(-49.0551, -25.3044)",,,14.0,,,,,
OUROESTE,"(-50.3768, -20.0061)",,,5.0,,,,,
CRUZEIRO DO OESTE,"(-53.0774, -23.7799)",,,9.0,,,,,
ARAGUATINS,"(-48.1232, -5.64659)",,,4.0,,,,,
MARTINOPOLIS,"(-51.1709, -22.1462)",,,8.0,,,,,
PANORAMA,"(-51.8562, -21.354)",,,5.0,,,,,
GARUVA,"(-48.852, -26.0292)",,,3.0,,,,,
PASSO DE TORRES,"(-49.722, -29.3099)",,,7.0,,,,,
COTIA,"(-46.919, -23.6022)",,,42.0,6.78,0.264,52.0,7.167,0.396
MOGI MIRIM,"(-46.9532, -22.4332)",,,24.0,6.681,0.337,53.0,7.028,0.447
TORRES,"(-49.7333, -29.3334)",,,16.0,6.874,0.275,20.0,6.992,0.436
ARAGUARI,"(-48.1934, -18.6456)",,,33.0,7.488,0.121,75.0,7.211,0.381
SERTAOZINHO,"(-47.9875, -21.1316)",,,26.0,6.916,0.177,55.0,7.226,0.332
SENGES,"(-49.4616, -24.1129)",,,3.0,,,,,
RIO BONITO,"(-42.6276, -22.7181)",,,15.0,7.615,0.229,24.0,6.978,0.636
GUARANI DE GOIAS,"(-46.4868, -13.9421)",,,2.0,,,,,
PRESIDENTE EPITACIO,"(-52.1111, -21.7651)",,,13.0,,,,,
ITAPIRA,"(-46.8224, -22.4357)",,,16.0,6.654,0.325,44.0,7.086,0.387
IGARAPAVA,"(-47.7466, -20.0407)",,,10.0,,,,,
CHARQUEADA,"(-47.7755, -22.5096)",,,3.0,,,,,
CASTILHO,"(-51.4884, -20.8689)",,,6.0,,,,,
CRISTAIS PAULISTA,"(-47.4209, -20.4036)",,,4.0,,,,,
ITIRAPINA,"(-47.8166, -22.2562)",,,5.0,,,,,
RUBINEIA,"(-51.007, -20.1759)",,,2.0,,,,,
